station_id,latitude,longitude,Name,elevation,state,date,tmax,tmin,prcp,snow,snwd,year,mean_temp,month,day,growing_days,above_freezing_days,prcp_day,cumulative_growing_days,cumulative_above_freezing_days,cumulative_prcp_day,temp_ma07,temp_ma14,temp_ma21,temp_ma30,cum_prcp,clim_temp_ma07,clim_temp_ma14,clim_temp_ma21,clim_temp_ma30,clim_cum_prcp,temp_diff_07_ave,temp_diff_14_ave,temp_diff_21_ave,temp_diff_30_ave,prcp_diff_ave
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-01,13.3,-3.3,0,0,25,1990,5,1,1,TRUE,FALSE,FALSE,1,0,0,NA,NA,NA,NA,0,-0.9923809523809524,-1.3771428571428572,-0.911984126984127,-0.5974444444444443,2.966666666666666,5.992380952380953,6.377142857142857,5.911984126984127,5.597444444444444,-2.966666666666666
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-02,12.8,-2.2,0,0,0,1990,5.300000000000001,1,2,TRUE,FALSE,FALSE,2,0,0,NA,NA,NA,NA,0,-1.0799999999999998,-1.3726190476190476,-1.0422222222222222,-0.7128888888888888,5.033333333333334,6.380000000000001,6.672619047619048,6.342222222222222,6.01288888888889,-5.033333333333334
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-03,0.6,-7.2,0,0,0,1990,-3.3000000000000003,1,3,FALSE,FALSE,FALSE,2,0,0,NA,NA,NA,NA,0,-1.1209523809523811,-1.348690476190476,-1.1436507936507936,-0.7901111111111111,7.866666666666666,-2.179047619047619,-1.9513095238095242,-2.1563492063492067,-2.5098888888888893,-7.866666666666666
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-04,2.2,-10.6,0,0,0,1990,-4.199999999999999,1,4,FALSE,FALSE,FALSE,2,0,0,NA,NA,NA,NA,0,-1.1264285714285716,-1.327738095238095,-1.2457142857142858,-0.7966111111111109,11.433333333333332,-3.0735714285714275,-2.8722619047619045,-2.9542857142857137,-3.4033888888888884,-11.433333333333332
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-05,5,-8.3,0,0,0,1990,-1.6500000000000004,1,5,FALSE,FALSE,FALSE,2,0,0,NA,NA,NA,NA,0,-1.2366666666666668,-1.2414285714285713,-1.3111904761904762,-0.8136666666666665,17.433333333333334,-0.41333333333333355,-0.40857142857142903,-0.3388095238095241,-0.8363333333333338,-17.433333333333334
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-06,13.9,-5.6,0,0,0,1990,4.15,1,6,TRUE,FALSE,FALSE,3,0,0,NA,NA,NA,NA,0,-1.487142857142857,-1.226547619047619,-1.4096031746031745,-0.8832222222222222,22.8,5.637142857142857,5.376547619047619,5.559603174603175,5.033222222222222,-22.8
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-07,13.3,-4.4,0,0,0,1990,4.45,1,7,TRUE,FALSE,FALSE,4,0,0,1.392857142857143,NA,NA,NA,0,-1.4645238095238096,-1.176785714285714,-1.405873015873016,-0.8992222222222221,28.73333333333333,5.91452380952381,5.626785714285714,5.855873015873016,5.349222222222222,-28.73333333333333
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-08,15.6,3.3,0,0,0,1990,9.45,1,8,TRUE,TRUE,FALSE,5,1,0,2.028571428571429,NA,NA,NA,0,-1.1857142857142857,-1.089047619047619,-1.3133333333333332,-0.8598333333333332,32.6,10.635714285714284,10.539047619047619,10.763333333333332,10.309833333333332,-32.6
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-09,17.2,5.6,0,0,0,1990,11.399999999999999,1,9,TRUE,TRUE,FALSE,6,2,0,2.9,NA,NA,NA,0,-0.8607142857142858,-0.9703571428571429,-1.2019841269841272,-0.8521666666666666,34.63333333333334,12.260714285714284,12.370357142857141,12.601984126984126,12.252166666666666,-34.63333333333334
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-10,21.7,0.6,0,0,0,1990,11.15,1,10,TRUE,TRUE,FALSE,7,3,0,4.964285714285714,NA,NA,NA,0,-0.6849999999999999,-0.9029761904761905,-1.1274603174603175,-0.9103333333333332,39.63333333333333,11.835,12.05297619047619,12.277460317460317,12.060333333333334,-39.63333333333333
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-11,12.8,-2.2,0,0,0,1990,5.300000000000001,1,11,TRUE,FALSE,FALSE,8,3,0,6.321428571428571,NA,NA,NA,0,-0.4809523809523809,-0.8036904761904762,-1.0454761904761904,-0.9127777777777778,41.33333333333333,5.780952380952382,6.103690476190477,6.345476190476191,6.212777777777778,-41.33333333333333
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-12,7.2,-5.6,0,0,0,1990,0.8000000000000003,1,12,FALSE,FALSE,FALSE,8,3,0,6.671428571428572,NA,NA,NA,0,-0.4423809523809525,-0.83952380952380945,-0.9750793650793651,-0.9708333333333333,50.56666666666667,1.2423809523809528,1.6395238095238098,1.7750793650793653,1.7708333333333335,-50.56666666666667
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-13,17.2,-3.3,0,0,0,1990,6.949999999999999,1,13,TRUE,FALSE,FALSE,9,3,0,7.071428571428571,NA,NA,NA,0,-0.34380952380952373,-0.9154761904761904,-0.9323015873015873,-1.0706111111111112,53.36666666666667,7.293809523809523,7.86547619047619,7.882301587301587,8.02061111111111,-53.36666666666667
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-14,14.4,0.6,0,0,0,1990,7.5,1,14,TRUE,TRUE,FALSE,10,4,0,7.507142857142857,4.45,NA,NA,0,-0.1842857142857144,-0.8244047619047622,-0.8459523809523808,-1.0697222222222222,54.83333333333333,7.684285714285714,8.324404761904763,8.345952380952381,8.569722222222222,-54.83333333333333
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-15,11.1,-5,0,0,0,1990,3.05,1,15,TRUE,FALSE,FALSE,11,4,0,6.5928571428571425,4.310714285714286,NA,NA,0,-0.08694581280788193,-0.577463054187192,-0.6068144499178981,-0.9409195402298851,56.43333333333333,3.1369458128078818,3.6274630541871917,3.656814449917898,3.9909195402298847,-56.43333333333333
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-16,9.4,-5.6,0,0,0,1990,1.9000000000000004,1,16,FALSE,FALSE,FALSE,11,4,0,5.235714285714286,4.067857142857142,NA,NA,0,-0.17068965517241397,-0.47992610837438443,-0.5573070607553366,-0.9255747126436782,59.73333333333333,2.0706896551724143,2.379926108374385,2.457307060755337,2.8255747126436788,-59.73333333333333
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-17,7.8,-5,3,5,0,1990,1.4,1,17,FALSE,FALSE,TRUE,11,4,1,3.842857142857143,4.4035714285714285,NA,NA,3,-0.4982758620689656,-0.548768472906404,-0.6309523809523809,-0.9437356321839079,63.3,1.8982758620689655,1.9487684729064039,2.030952380952381,2.3437356321839076,-60.3
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-18,-1.1,-8.3,13,13,25,1990,-4.7,1,18,FALSE,FALSE,TRUE,11,4,2,2.4142857142857146,4.367857142857143,NA,NA,16,-0.625369458128079,-0.5450738916256157,-0.6253694581280789,-0.8858045977011494,63.3,-4.0746305418719215,-4.154926108374385,-4.0746305418719215,-3.814195402298851,-47.3
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-19,-1.1,-5.6,160,183,0,1990,-3.3499999999999996,1,19,FALSE,FALSE,TRUE,11,4,3,1.8214285714285714,4.246428571428571,NA,NA,176,-0.26280788177339903,-0.3713054187192119,-0.5379310344827587,-0.7753448275862068,66.96666666666667,-3.0871921182266004,-2.978694581280788,-2.812068965517241,-2.574655172413793,109.03333333333333
USW00023062,39.7633,-104.8694,DENVER-STAPLETON                       72469,1611,CO,1990-01-20,3.9,-6.1,8,8,178,1990,-1.0999999999999999,1,20,FALSE,FALSE,TRUE,11,4,4,0.6714285714285713,3.8714285714285714,NA,NA,184,0.2625615763546799,-0.046551724137931204,-0.43111658456486046,-0.6632758620689655,70.36666666666666,-1.36256157635468,-1.0534482758620687,-0.6688834154351394,-0.4367241379310344,113.63333333333334
